director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combine,comb
Brett Haley,Auliʻi Cravalho,Rhenzy Feliz,Judy Reyes,Drama,all together now,,Auliʻi Cravalho Rhenzy Feliz Judy Reyes Brett Haley Drama
Brendan Walsh,Genesis Rodriguez,Vincent Piazza,Louis Cancelmi,Thriller,centigrade,,Genesis Rodriguez Vincent Piazza Louis Cancelmi Brendan Walsh Thriller
Jeremy Garelick,Skyler Gisondo,Eduardo Franco,Dexter Darden,Comedy,the binge,,Skyler Gisondo Eduardo Franco Dexter Darden Jeremy Garelick Comedy
Niki Caro,Liu Yifei,Donnie Yen,Tzi Ma,Adventure,mulan,,Liu Yifei Donnie Yen Tzi Ma Niki Caro Adventure
John Leguizamo,John Leguizamo,Jorge Lendeborg Jr.,Angel Bismark Curiel,Drama,critical thinking,,John Leguizamo Jorge Lendeborg Jr. Angel Bismark Curiel John Leguizamo Drama
Julius Berg,Maisie Williams,Sylvester McCoy,Rita Tushingham,Thriller,the owners,,Maisie Williams Sylvester McCoy Rita Tushingham Julius Berg Thriller
Sam Macaroni,Pauly Shore,Mike Castle,Aimee Teegarden,Comedy,guest house,,Pauly Shore Mike Castle Aimee Teegarden Sam Macaroni Comedy
McG,Judah Lewis,Emily Alyn Lind,Jenna Ortega,Comedy,the babysitter: killer queen,,Judah Lewis Emily Alyn Lind Jenna Ortega McG Comedy
Rachel Lee Goldenberg,Haley Lu Richardson,Barbie Ferreira,Alex MacNicoll,Drama,unpregnant,,Haley Lu Richardson Barbie Ferreira Alex MacNicoll Rachel Lee Goldenberg Drama
Antonio Campos,Tom Holland,Bill Skarsgård,Riley Keough,Crime,the devil all the time,,Tom Holland Bill Skarsgård Riley Keough Antonio Campos Crime
Natalie Krinsky,Geraldine Viswanathan,Dacre Montgomery,Utkarsh Ambudkar,Comedy,the broken hearts gallery,,Geraldine Viswanathan Dacre Montgomery Utkarsh Ambudkar Natalie Krinsky Comedy
Luke Eve,Brenton Thwaites,Lily Sullivan,Joel Jackson,Comedy,i met a girl,,Brenton Thwaites Lily Sullivan Joel Jackson Luke Eve Comedy
Jon Stevenson,Wil Wheaton,Brian Landis Folkins,Kathleen Brady,Horror,rent-a-pal,,Wil Wheaton Brian Landis Folkins Kathleen Brady Jon Stevenson Horror
Sean McNamara,Melissa Rauch,Max Greenfield,George Lopez,Comedy,cats & dogs 3: paws unite!,,Melissa Rauch Max Greenfield George Lopez Sean McNamara Comedy
Yuval Adler,Noomi Rapace,Joel Kinnaman,Chris Messina,Thriller,the secrets we keep,,Noomi Rapace Joel Kinnaman Chris Messina Yuval Adler Thriller
"Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe",Janelle Monáe,Eric Lange,Jena Malone,Horror,antebellum,,"Janelle Monáe Eric Lange Jena Malone Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe Horror"
Sean Durkin,Jude Law,Carrie Coon,Charlie Shotwell,Drama,the nest,,Jude Law Carrie Coon Charlie Shotwell Sean Durkin Drama
Roger Michell,Susan Sarandon,Kate Winslet,Mia Wasikowska,Drama,blackbird,,Susan Sarandon Kate Winslet Mia Wasikowska Roger Michell Drama
William Olsson,Alexandra Daddario,Takehiro Hira,Carice van Houten,Drama,lost girls & love hotels,,Alexandra Daddario Takehiro Hira Carice van Houten William Olsson Drama
Taylor A. Purdee,Taylor A. Purdee,John Donchak,Nathan Purdee,Drama,killian & the comeback kids,,Taylor A. Purdee John Donchak Nathan Purdee Taylor A. Purdee Drama
Harry Bradbeer,Millie Bobby Brown,Henry Cavill,Sam Claflin,Crime,enola holmes,,Millie Bobby Brown Henry Cavill Sam Claflin Harry Bradbeer Crime
Aaron Sorkin,Yahya Abdul-Mateen II,Sacha Baron Cohen,Danny Flaherty,Drama,the trial of the chicago 7,,Yahya Abdul-Mateen II Sacha Baron Cohen Danny Flaherty Aaron Sorkin Drama
Tate Taylor,Jessica Chastain,John Malkovich,Common,Action,ava,,Jessica Chastain John Malkovich Common Tate Taylor Action
Miranda July,Evan Rachel Wood,Richard Jenkins,Debra Winger,Crime,kajillionaire,,Evan Rachel Wood Richard Jenkins Debra Winger Miranda July Crime
Andrew Cohn,Richard Jenkins,Shane Paul McGhie,Da'Vine Joy Randolph,Comedy,the last shift,,Richard Jenkins Shane Paul McGhie Da'Vine Joy Randolph Andrew Cohn Comedy
Anna Mastro,Peyton Elizabeth Lee,Skylar Astin,Élodie Yung,Action,secret society of second-born royals,,Peyton Elizabeth Lee Skylar Astin Élodie Yung Anna Mastro Action
Marc Carlini,Tommy Dewey,François Arnaud,Minka Kelly,Comedy,she's in portland,,Tommy Dewey François Arnaud Minka Kelly Marc Carlini Comedy
Joe Mantello,Jim Parsons,Zachary Quinto,Matt Bomer,Drama,the boys in the band,,Jim Parsons Zachary Quinto Matt Bomer Joe Mantello Drama
Julie Taymor,Julianne Moore,Alicia Vikander,Timothy Hutton,Drama,the glorias,,Julianne Moore Alicia Vikander Timothy Hutton Julie Taymor Drama
Sofia Coppola,Rashida Jones,Bill Murray,Marlon Wayans,Drama,on the rocks,,Rashida Jones Bill Murray Marlon Wayans Sofia Coppola Drama
Brian Duffield,Katherine Langford,Charlie Plummer,Hayley Law,Comedy,spontaneous,,Katherine Langford Charlie Plummer Hayley Law Brian Duffield Comedy
Osmany Rodriguez,Jaden Michael,Gerald W. Jones III,Gregory Diaz IV,Comedy,vampires vs. the bronx,,Jaden Michael Gerald W. Jones III Gregory Diaz IV Osmany Rodriguez Comedy
Brandon Cronenberg,Andrea Riseborough,Christopher Abbott,Rossif Sutherland,Thriller,possessor,,Andrea Riseborough Christopher Abbott Rossif Sutherland Brandon Cronenberg Thriller
Darren Lynn Bousman,Maggie Q,Alex Essoe,Luke Hemsworth,Horror,death of me,,Maggie Q Alex Essoe Luke Hemsworth Darren Lynn Bousman Horror
Mike Elliott,Madison Pettis,Lizze Broadway,Piper Curda,Comedy,american pie presents: girls' rules,,Madison Pettis Lizze Broadway Piper Curda Mike Elliott Comedy
Veena Sud,Mireille Enos,Peter Sarsgaard,Joey King,Drama,the lie,,Mireille Enos Peter Sarsgaard Joey King Veena Sud Drama
Steven Brill,Adam Sandler,Kevin James,Julie Bowen,Comedy,hubie halloween,,Adam Sandler Kevin James Julie Bowen Steven Brill Comedy
